czytać	ˈʧ̑ɨtaʨ̑	
przeczytać	pʃɛˈʧ̑ɨtaʨ̑	
odczytać	ɔṭˈʧ̑ɨtaʨ̑	
dog	dɔk	
zamek	ˈzãmɛk	
pies	pʲjɛs	
umierać	ũˈmʲjɛraʨ̑	
Wikisłownik:Nazewnictwo	ˌɔbrabɔˈvɨvaʨ̑	
Polska	ˈpɔlska	
zima	ˈʑĩ.ma	
most	mɔst	
to	tɔ	
książka	ˈcɕɔ̃w̃ʃka	
one	ˈɔ̃nɛ	
dom	dɔ̃m	
ogień	ˈɔɟɛ̇̃ɲ	
stary	ˈstarɨ	
drzewo	ˈḍʒɛvɔ	
miasto	ˈmʲjastɔ	
szkoła	ˈʃkɔwa	
życie	ˈʒɨʨ̑ɛ	
piesek	ˈpʲjɛsɛk	
przyjaciel	pʃɨˈjäʨ̑ɛl	
oko	ˈɔkɔ	
nie	ɲɛ	
król	krul	
jeść	jɛ̇ɕʨ̑	
zupa	ˈzupa	
okno	ˈɔknɔ	
ucho	ˈuxɔ	
jabłko	ˈjap.w̥kɔ	
jabłko	ˈjap.kɔ	
tęsknota	tɛ̃w̃sˈknɔta	
dziewczyna	ʥ̑ɛfˈʧ̑ɨ̃na	
sabatarianizm	ˌsabatarʲˈjä̃ɲism̥	
nadzieja	naˈʥ̑ɛ̇ja	
pocztówka	pɔʧ̑ˈtufka	
cicha woda brzegi rwie	ˈʨ̑ixa ˈvɔda ˈbʒɛɟi ˈrvʲjɛ	
ojciec	ˈɔjʨ̑ɛʦ̑	
żółwica	ʒuwˈvʲiʦ̑a	
szurza	ˈʃuʒa	
dziewierz	ˈʥ̑ɛvʲjɛʃ	
znachodzić się	znaˈxɔʥ̑iʨ̑‿ɕɛ	
śmierć	ɕmʲjɛrʲʨ̑	
chleb i woda, nie ma głoda	ˈxlɛp i‿ˈvɔda ˈɲɛ‿ma ˈɡwɔda	
jątrew	ˈjɔ̃ntrɛf	
łaska pańska na pstrym koniu jeździ	ˈwaska ˈpãj̃ska na‿ˈpstrɨ̃m ˈkɔ̃ɲu ˈjɛ̇ʑʥ̑i	
apetyt rośnie w miarę jedzenia	aˈpɛtɨt ˈrɔɕɲɛ ˈv‿mʲjarɛ jɛˈʣ̑ɛ̃ɲa	
prawdziwych przyjaciół poznaje się w biedzie	pravʲˈʥ̑ivɨx pʃɨˈjäʨ̑uw pɔˈznajɛ‿ɕɛ ˈv‿bʲjɛ̇ʥ̑ɛ	
jak się chce psa uderzyć, kij się znajdzie	ˈjäc‿ɕɛ ˈxʦ̑ɛ ˈpsa uˈdɛʒɨʨ̑ ˈcij‿ɕɛ ˈznajʥ̑ɛ	
myszy dokazują, gdy kota nie czują	ˈmɨʃɨ ˌdɔkaˈzujɔ̃w̃ ˈɡdɨ ˈkɔta ɲɛ‿ˈʧ̑ujɔ̃w̃	
alter ego	ˈaltɛr ˈɛɡɔ	
strzelec	ˈsṭʃɛlɛʦ̑	
woda	ˈvɔda	
kot	kɔt	
teść	tɛɕʨ̑	
koń	kɔ̃ɲ	
miłość	ˈmʲiwɔɕʨ̑	
herbata	xɛrˈbata	
piwo	ˈpʲivɔ	
teściowa	tɛɕˈʨ̑ɔva	
słownik	ˈswɔvʲɲik	
słowo	ˈswɔvɔ	
na świętego Dygdy	ˌna‿ɕfʲjɛ̃nˈtɛɡɔ ˈdɨɡdɨ	
komputer	kɔ̃mˈputɛr	
czekolada	ˌʧ̑ɛkɔˈlada	
mleko	ˈmlɛkɔ	
być	bɨʨ̑	
styczeń	ˈstɨʧ̑ɛ̃ɲ	
luty	ˈlutɨ	
marzec	ˈmaʒɛʦ̑	
kwiecień	ˈkfʲjɛ̇ʨ̑ɛ̇̃ɲ	
maj	maj	
czerwiec	ˈʧ̑ɛrvʲjɛʦ̑	
lipiec	ˈlʲipʲjɛʦ̑	
sierpień	ˈɕɛrpʲjɛ̇̃ɲ	
wrzesień	ˈvʒɛɕɛ̇̃ɲ	
październik	paʑˈʥ̑ɛrʲɲik	
listopad	lʲiˈstɔpat	
grudzień	ˈɡruʥ̑ɛ̇̃ɲ	
dziecko	ˈʥ̑ɛʦ̑kɔ	
mars	mars	
rok	rɔk	
miesiąc	ˈmʲjɛ̇ɕɔ̃nʦ̑	
w	vu	
w	f	
stara miłość nie rdzewieje	ˈstara ˈmʲiwɔɕʨ̑ ˌɲɛ‿rʣ̑ɛˈvʲjɛ̇jɛ	
chleb	xlɛp	
czekoladka	ˌʧ̑ɛkɔˈlatka	
august	ˈawɡust	
delfin	ˈdɛlfʲĩn	
January	ˌjãnuˈʷarɨ	
kalendarz	kaˈlɛ̃ndaʃ	
wg	ˈvɛdwuk	według
siestrzan	ˈɕɛsṭʃãn	
trącić	ˈtrɔ̃ɲʨ̑iʨ̑	
sen	sɛ̃n	
brat	brat	
siostra	ˈɕɔstra	
zenit	ˈzɛ̃ɲit	
van	vãn	wan
vel	vɛl	wel
tag	tak	
talent	ˈtalɛ̃nt	
tan	tãn	
te	tɛ	
tego	ˈtɛɡɔ	
ten	tɛ̃n	
termin	ˈtɛrmʲĩn	
testament	tɛˈstãmɛ̃nt	
tetra	ˈtɛtra	
tir	tʲir	
tombak	ˈtɔ̃mbak	
ton	tɔ̃n	
topaz	ˈtɔpas	
torf	tɔrf	
tort	tɔrt	
traf	traf	
trakt	trakt	
trans	trãw̃s	
tren	trɛ̃n	
trezor	ˈtrɛzɔr	
tri	trʲi	
trik	trʲik	
tron	trɔ̃n	
tropik	ˈtrɔpʲik	
trud	trut	
trut	trut	
tuf	tuf	
tul	tul	
tumult	ˈtũmult	
tur	tur	
turban	ˈturbãn	
u	u	
uj	uj	
ul	ul	
uniform	ũˈɲifɔrm	
żołędne	ʒɔˈwɛ̃ndnɛ	
śpioch	ɕpʲjɔx	
żonąć	ˈʒɔ̃nɔ̃ɲʨ̑	
a	a	
abat	ˈabat	
absces	ˈapsʦ̑ɛs	
afekt	ˈafɛkt	
Ag	a‿ˈɟɛ	a-gie
Ag	ˈcɕɛ̃ŋɡa ˌːɡɛˈʷuʃa	księga Aggeusza
akcent	ˈakʦ̑ɛ̃nt	
akr	akr̥	
alt	alt	
Am	ˈcɕɛ̃ŋɡa ãˈmɔsa	księga Amosa
amoniak	ãˈmɔ̃ɲak	
an	ãn	
ananas	ãˈnãnas	
ar	ar	
argument	arˈɡũmɛ̃nt	
arogant	aˈrɔɡãnt	
as	as	
as	a ɛs	
at	at	
atak	ˈatak	
atest	ˈatɛst	
atut	ˈatut	
azot	ˈazɔt	
bak	bak	
ban	bãn	
bant	bãnt	
bar	bar	
bark	bark	
bastion	ˈbastʲjɔ̃n	
bat	bat	
bazar	ˈbazar	
bek	bɛk	
ben	bɛ̃n	
blank	blãŋk	
blat	blat	
blond	blɔ̃nt	
bo	bɔ	
boa	ˈbɔa	
boj	bɔj	
bon	bɔ̃n	
bor	bɔr	
boraks	ˈbɔraks	
bot	bɔt	
brak	brak	
buk	buk	
butik	ˈbutʲik	
cedr	ʦ̑ɛtr̥	
cel	ʦ̑ɛl	
cement	ˈʦ̑ɛ̃mɛ̃nt	
cent	ʦ̑ɛ̃nt	
ci	ʨ̑i	
ci		czi
dank	dãŋk	
de	dɛ	
dek	dɛk	
demon	ˈdɛ̃mɔ̃n	
denar	ˈdɛ̃nar	
des	dɛs	
detal	ˈdɛtal	
dis	dʲis	
do	dɔ	
dres	drɛs	
drink	drʲĩŋk	
dron	drɔ̃n	
e	ɛ	
ej	ɛj	
eks	ɛks	
el	ɛl	
elefant	ɛˈlɛfãnt	
em	ɛ̃m	
en	ɛ̃n	
episkop	ɛˈpʲiskɔp	
epolet	ɛˈpɔlɛt	
er	ɛr	
Est	ˈcɕɛ̃ŋɡa ɛˈstɛrɨ	księga Estery
et	ɛt	
facet	ˈfaʦ̑ɛt	
fag	fak	
fajf	fajf	
fanfaron	fãnˈfarɔ̃n	
fantom	ˈfãntɔ̃m	
fart	fart	
