Podcasting	z ang.	z angielskiego
Podcasting	sięgają roku 2000	sięgają roku dwutysięcznego
Podcasting	lat 2004 i 2005	lat dwa tysiące cztery i dwa tysiące pięć
Podcasting	koniec września 2004	koniec września dwa tysiące czwartego roku
Podcasting	w granicach 500,	w granicach pięciuset,
Podcasting	tzw. Videocastu,	tak zwanego Videocastu,
Podcasting	w roku 2005	w roku dwa tysiące piątym
Podcasting	np.	na przykład
Podcasting	m.in.	między innymi
Dok pływający	pływający – jednostka	pływający to jednostka
Dok pływający	np.	na przykład
Półrura	quarter pipe’y	quarter pipe'y	C
Półrura	zakończone coping	zakończone copingiem
Półrura	Do 1980	Do tysiąc dziewięćset osiemdziesiątego
Półrura	flat bottom	tak zwany flat bottom
Półrura	roll-in	tak zwany roll-in
